S00283888-22;CORDOBA AV. 1698;VERI
S00581087-22;SARMIENTO 1190;VERI
S00484903-20;GARAY, JUAN DE AV. 295;VERI
S00295359-22;PUEYRREDON AV. 1398;VERI
